Frame,Class,Color,Conf,x1,y1,x2,y2
522,traffic light,Red,0.6448,687,358,730,441
523,traffic light,Red,0.6563,687,358,730,441
524,traffic light,Red,0.6625,687,358,730,441
525,traffic light,Red,0.6669,687,358,730,441
526,traffic light,Red,0.6522,687,358,730,441
527,traffic light,Red,0.6656,687,358,730,441
528,traffic light,Red,0.6704,687,358,730,441
529,traffic light,Red,0.6712,687,358,730,441
530,traffic light,Red,0.6682,687,358,730,441
531,traffic light,Red,0.6631,687,358,730,441
532,traffic light,Red,0.6419,687,359,730,441
533,traffic light,Red,0.6090,687,359,730,441
534,traffic light,Red,0.5883,687,359,730,441
535,traffic light,Red,0.5848,687,359,730,441
536,traffic light,Red,0.5787,687,359,730,441
537,traffic light,Red,0.5752,687,359,730,441
538,traffic light,Red,0.5658,687,359,730,441
539,traffic light,Red,0.5642,687,359,730,441
540,traffic light,Red,0.5767,687,359,730,441
541,traffic light,Red,0.5735,687,359,730,441
542,traffic light,Red,0.5622,687,359,730,441
543,traffic light,Red,0.5721,687,359,730,441
544,traffic light,Red,0.5616,687,359,730,441
545,traffic light,Red,0.5952,687,359,730,441
546,traffic light,Red,0.5952,687,359,730,441
547,traffic light,Red,0.5989,687,359,730,441
548,traffic light,Red,0.5644,687,359,730,441
549,traffic light,Red,0.5731,687,359,730,441
550,traffic light,Red,0.5543,687,358,730,441
551,traffic light,Red,0.5504,687,358,730,441
552,traffic light,Red,0.5492,687,358,730,441
553,traffic light,Red,0.5453,687,358,730,441
554,traffic light,Red,0.5266,688,358,730,441
555,traffic light,Red,0.5555,688,358,730,441
556,traffic light,Red,0.5794,688,358,730,441
557,traffic light,Red,0.5978,688,358,730,441
558,traffic light,Red,0.5884,688,358,730,441
559,traffic light,Red,0.5765,688,358,730,441
560,traffic light,Red,0.5648,688,359,730,441
561,traffic light,Red,0.5759,688,359,730,441
562,traffic light,Red,0.5827,688,359,730,441
563,traffic light,Red,0.5927,688,358,730,441
564,traffic light,Red,0.5960,688,358,730,441
565,traffic light,Red,0.6049,688,358,730,441
566,traffic light,Red,0.6214,688,358,730,441
567,traffic light,Red,0.6018,688,358,730,441
568,traffic light,Red,0.5987,688,358,730,441
569,traffic light,Red,0.6036,688,358,730,441
570,traffic light,Red,0.6109,687,358,730,441
571,traffic light,Red,0.5923,687,358,730,441
572,traffic light,Red,0.6272,687,358,730,441
573,traffic light,Red,0.6210,687,358,730,441
574,traffic light,Red,0.6145,687,357,730,441
575,traffic light,Red,0.6448,687,357,730,441
576,traffic light,Red,0.6271,688,357,730,441
577,traffic light,Red,0.6372,688,358,730,441
578,traffic light,Red,0.6572,688,358,730,441
579,traffic light,Red,0.6436,688,358,730,441
580,traffic light,Red,0.6366,688,358,730,441
581,traffic light,Red,0.6351,687,358,730,441
582,traffic light,Red,0.6419,687,358,730,441
583,traffic light,Red,0.6410,687,358,730,441
584,traffic light,Red,0.6608,688,357,730,441
585,traffic light,Red,0.6386,688,357,730,441
586,traffic light,Red,0.6246,688,357,730,441
587,traffic light,Red,0.6289,688,357,730,441
588,traffic light,Red,0.6286,688,357,730,441
589,traffic light,Red,0.6198,688,357,730,441
590,traffic light,Red,0.6295,688,357,730,441
591,traffic light,Red,0.6105,688,357,730,441
592,traffic light,Red,0.6134,688,357,730,441
593,traffic light,Red,0.6026,688,358,730,441
594,traffic light,Red,0.5949,687,358,730,441
595,traffic light,Red,0.6012,687,357,730,441
596,traffic light,Red,0.6143,687,357,730,441
597,traffic light,Red,0.6135,687,357,730,441
598,traffic light,Red,0.6230,687,357,730,441
599,traffic light,Red,0.6233,687,357,730,441
600,traffic light,Red,0.6080,687,357,730,442
601,traffic light,Red,0.6001,687,357,730,442
602,traffic light,Red,0.5854,687,357,730,442
